H_units	L2_reg	dropout_rate	AUC_valid	AUC_valid_PDB	AUC_valid_af2	AUC_test	AUC_test_PDB	AUC_test_af2
1_unit	0.0001	0.0	0.7838738132656763	0.7935984681373511	0.7742373774800334	0.7835711250037722	0.7880624264432218	0.7798142597044653
1_unit	0.0001	0.1	0.7774652114337838	0.7891766297137708	0.7655198571444272	0.7661683456891956	0.7760152092784645	0.7581231830847073
1_unit	0.0001	0.2	0.7651745301144384	0.7721068527970584	0.7583141974794995	0.7693414090712483	0.7747688934042831	0.7668230010159637
1_unit	0.0001	0.3	0.7569100186713915	0.7702270613106161	0.7434530024162517	0.7418259558609036	0.7492878195004676	0.7351387645478962
1_unit	0.0001	0.4	0.7555787243283087	0.7623892767259556	0.7494116019323733	0.7601177034190699	0.7665979298482091	0.7576629817025942
1_unit	0.0001	0.5	0.7513895040836063	0.756352408087456	0.7449772877851342	0.7585914317041031	0.7644769798718477	0.7551794030961746
1_unit	0.001	0.0	0.7841628783537461	0.7940514426858545	0.7743530266729675	0.7853031042217818	0.7899751541548893	0.7812745817951374
1_unit	0.001	0.1	0.7742040715957779	0.7831461314070308	0.7659027992564413	0.7780226177662881	0.7827341494573145	0.7746655367004316
1_unit	0.001	0.2	0.7680188822638658	0.7812133421358785	0.7547905895716531	0.7500700361119773	0.7519341031857001	0.7473660386468571
1_unit	0.001	0.3	0.7567556377239821	0.7704062901825457	0.743550651398804	0.7444521843219699	0.7520907728365506	0.7361323468761631
1_unit	0.001	0.4	0.7484171923596841	0.7598572052651987	0.7369930601456659	0.734717101888083	0.7418652490116986	0.7279229074668302
1_unit	0.001	0.5	0.7523514349731606	0.7587144293705657	0.745525432656605	0.7583337943729693	0.7656699827990303	0.7538797742749941
1_unit	0.01	0.0	0.7837037321783787	0.793638591807353	0.7737768864895586	0.7848453547322785	0.7898335730739441	0.7803974329313067
1_unit	0.01	0.1	0.7737813482730631	0.7830012073407574	0.7647775859307908	0.77865275416696	0.7844313620955007	0.7742795207870198
1_unit	0.01	0.2	0.7683984915305595	0.7818450529644219	0.7550161142310778	0.7519786144669209	0.7572611227907818	0.7477128242785148
1_unit	0.01	0.3	0.7622536348767617	0.770442741982331	0.7537898685427288	0.7663609764316538	0.7738334020701518	0.7607269672980395
1_unit	0.01	0.4	0.5	0.5	0.5	0.5	0.5	0.5
1_unit	0.01	0.5	0.5	0.5	0.5	0.5	0.5	0.5
1_unit	0.1	0.0	0.5	0.5	0.5	0.5	0.5	0.5
1_unit	0.1	0.1	0.771460460375202	0.7807650010911595	0.7624977234797161	0.7795483236598836	0.7859324233249173	0.7748372949211874
1_unit	0.1	0.2	0.7677386308418259	0.7797088880061922	0.7556181046948128	0.7541968857191714	0.7600100087513707	0.7509923249474415
1_unit	0.1	0.3	0.5	0.5	0.5	0.5	0.5	0.5
1_unit	0.1	0.4	0.757097253633405	0.766260595631907	0.7478330195922047	0.7665827155402211	0.7728383108848944	0.7628056692786658
1_unit	0.1	0.5	0.5	0.5	0.5	0.5	0.5	0.5
1_unit	1	0.0	0.5	0.5	0.5	0.5	0.5	0.5
1_unit	1	0.1	0.5	0.5	0.5	0.5	0.5	0.5
1_unit	1	0.2	0.5	0.5	0.5	0.5	0.5	0.5
1_unit	1	0.3	0.757593954543385	0.7667915370750953	0.7483111418397738	0.7666761389355518	0.7745249615241467	0.7600663394123506
1_unit	1	0.4	0.5	0.5	0.5	0.5	0.5	0.5
1_unit	1	0.5	0.7437644568850608	0.7528308274601727	0.7347628670496453	0.7525272097210627	0.7600806735537606	0.7466161367225614
2_unit	0.0001	0.0	0.7766417018088132	0.7869333878389857	0.7650440683301489	0.7650080346634746	0.7757529196382768	0.752111896834418
2_unit	0.0001	0.1	0.7785682752964579	0.7840335307887593	0.7726821647980883	0.776262598955871	0.7843466146278655	0.7702677215253538
2_unit	0.0001	0.2	0.7767445249687175	0.7828093280811131	0.7706136164173223	0.7753312569784636	0.7824597889612023	0.7715157977326909
2_unit	0.0001	0.3	0.7645653475147464	0.777216414260751	0.7513484084768196	0.7494473811272169	0.7614912033637452	0.7402864816472694
2_unit	0.0001	0.4	0.7793940702730411	0.7868681400201275	0.7719150598881835	0.78196997626065	0.7864813957933067	0.7787261223381248
2_unit	0.0001	0.5	0.7794296212773005	0.7865416516861164	0.7718296059892892	0.7830454140806535	0.7860566525504712	0.7782422821964935
2_unit	0.001	0.0	0.7804097280225516	0.7922301283329435	0.7678599590697353	0.774456685745325	0.7855889068834055	0.7611984851075816
2_unit	0.001	0.1	0.7803726325170306	0.7875249455597649	0.7737977009500155	0.7721959150211744	0.7791005703479423	0.7659425829619868
2_unit	0.001	0.2	0.7822777983733085	0.7895167163314425	0.7752163047522753	0.7821232509832718	0.7867265850542685	0.7766353495015743
2_unit	0.001	0.3	0.7746853304369192	0.7825989089187784	0.7667727812954814	0.7715516330862161	0.7789252914608753	0.765872421111927
2_unit	0.001	0.4	0.7814067963158051	0.7888874409870992	0.7741225211441635	0.7853876630822929	0.7883458400812771	0.7807160532324746
2_unit	0.001	0.5	0.7807242131089889	0.7882455486178384	0.7740977208106924	0.7858323358112117	0.7895330590566627	0.7807117781376681
2_unit	0.01	0.0	0.7828470319670549	0.7937029093929228	0.7716873529093145	0.781672102743102	0.7888867653123837	0.7746803737941718
2_unit	0.01	0.1	0.7834787565332207	0.791272983042279	0.7754011326865922	0.7838395129409634	0.7892260066590889	0.7793829780813375
2_unit	0.01	0.2	0.769209914010334	0.781842642992949	0.7566111581679192	0.7518520590868398	0.7568139981692535	0.747919034733888
2_unit	0.01	0.3	0.7755848238326554	0.7829856877524779	0.7677916359859767	0.7754695688692625	0.78207176123847	0.7695668574532506
2_unit	0.01	0.4	0.781388341291996	0.7890628802377629	0.7726170072550347	0.7806448226087133	0.7856658585899228	0.7748443362538098
2_unit	0.01	0.5	0.7650849711195928	0.7737367804822141	0.7571585710203678	0.7708534095138464	0.77555048132538	0.7682916218200839
2_unit	0.1	0.0	0.7824241187707732	0.7921010103825025	0.7726642666386158	0.7870015742407933	0.7912503897880557	0.7829494130546307
2_unit	0.1	0.1	0.7735557161658061	0.7830906373000783	0.7646866781958026	0.7771539562230292	0.7835891684186171	0.7720031585406335
2_unit	0.1	0.2	0.7669388421657086	0.7759166330422004	0.7586115679415704	0.7734876852121956	0.781270558176496	0.7685579350789132
2_unit	0.1	0.3	0.5	0.5	0.5	0.5	0.5	0.5
2_unit	0.1	0.4	0.7686325801256639	0.7777483369626823	0.7610512303414623	0.7735407466830294	0.7803094162735257	0.7674086890044561
2_unit	0.1	0.5	0.5	0.5	0.5	0.5	0.5	0.5
2_unit	1	0.0	0.5	0.5	0.5	0.5	0.5	0.5
2_unit	1	0.1	0.5	0.5	0.5	0.5	0.5	0.5
2_unit	1	0.2	0.7595184781815156	0.7653532472599331	0.7531825792817813	0.7740677778560148	0.7817634514600706	0.7678663756249182
2_unit	1	0.3	0.7552183153514397	0.762017630864591	0.7485070010848797	0.7763570911249034	0.7835071871887982	0.7696040759256839
2_unit	1	0.4	0.7506862055234662	0.7604782242984786	0.7406053875815033	0.7498780340599318	0.7579999597638136	0.7451284037298945
2_unit	1	0.5	0.7366978754374451	0.7446161099920401	0.7286854959752691	0.7643126401979621	0.7726253105730638	0.7578520917787412
5_unit	0.0001	0.0	0.7776531769429315	0.7849618094097218	0.7685674250357571	0.7588709474615996	0.7721095329584662	0.745979650548721
5_unit	0.0001	0.1	0.7672221570775445	0.77543446800861	0.7578791505282312	0.7549269838954662	0.7634683089736756	0.7457467836198486
5_unit	0.0001	0.2	0.7828522257695816	0.7903665609785583	0.7756131670008181	0.7765611011638316	0.7803053926548841	0.7731740315652881
5_unit	0.0001	0.3	0.7817345490017067	0.7885883906100604	0.7752683546410398	0.7762896326436179	0.7843078872984418	0.7705601883053523
5_unit	0.0001	0.4	0.7873133964779877	0.7957780989328616	0.779535978440568	0.7752265800247452	0.7816437488054883	0.769816573285184
5_unit	0.0001	0.5	0.7806200235462848	0.788602332334281	0.7735262121685506	0.7721296510516734	0.776880287286371	0.7690478106485068
5_unit	0.001	0.0	0.7813879173882188	0.7870135468657026	0.7746710702942363	0.7601185207166066	0.7783843662297688	0.7396321406657077
5_unit	0.001	0.1	0.7803800925366244	0.7864100393759509	0.7731353611110675	0.7673440596300283	0.7741915041292387	0.7598639010994537
5_unit	0.001	0.2	0.7828989317232316	0.7887595103597372	0.7768462756128158	0.7679939997787009	0.7741874805105973	0.7630169092573407
5_unit	0.001	0.3	0.7861440323964537	0.7923463859062984	0.7802473772916316	0.7718049953225434	0.7771015863116495	0.7694506754649795
5_unit	0.001	0.4	0.7852855119501614	0.7920675592719532	0.7791352323699203	0.7773385397282045	0.7848176294850775	0.769135827306288
5_unit	0.001	0.5	0.78792717676552	0.7958647558549747	0.7802311394219523	0.7855266036635048	0.7880677074426885	0.7846886222123867
5_unit	0.01	0.0	0.7814508425676322	0.7898933136244244	0.7724172504502015	0.7648417460493094	0.7767890014384435	0.7518848138573426
5_unit	0.01	0.1	0.7844290546003765	0.7923413952243314	0.7759686456431327	0.7782335433997565	0.781137778761329	0.7745219438101657
5_unit	0.01	0.2	0.7870576779964109	0.7952929626477971	0.7791813907811919	0.7840231534105198	0.7905628539527023	0.7794224598392565
5_unit	0.01	0.3	0.7855002501228536	0.7932996748501029	0.7776765559231132	0.782006440304588	0.7882253829981993	0.7779988532686872
5_unit	0.01	0.4	0.7881348120968008	0.7969031532945958	0.7794551070200035	0.7838082670274511	0.7896195668574534	0.7786909156750124
5_unit	0.01	0.5	0.7872207322898497	0.7949477185341722	0.7794644054278522	0.7788278444469033	0.7854609055153754	0.773255509842777
5_unit	0.1	0.0	0.7799829947859835	0.7891474981042081	0.7706879919050079	0.7800793155824691	0.7843400762475733	0.7758929918622313
5_unit	0.1	0.1	0.783413022010026	0.7914876294672785	0.7750913061260376	0.7747049555893092	0.7812041684689125	0.7682541518714856
5_unit	0.1	0.2	0.7829218917059301	0.7911318387846836	0.7745380351588932	0.7778449498556527	0.7839281582891574	0.773119712713629
5_unit	0.1	0.3	0.7698276158984326	0.7798365576187285	0.7597961140583762	0.7771225845714343	0.7856532847816684	0.7699682134127327
5_unit	0.1	0.4	0.7754411233960344	0.7843443229079171	0.7664840302102092	0.7809403699717341	0.7852982004365626	0.7768226992445655
5_unit	0.1	0.5	0.7720737205956004	0.7804012327749841	0.7630926155177042	0.7789337159124058	0.7836608391256676	0.7760378421333226
10_unit	0.0001	0.0	0.774613892347281	0.778350511903061	0.7694493038557972	0.7512861748463481	0.7685272549867723	0.7324771408165934
10_unit	0.0001	0.1	0.7842288606447734	0.788971144320396	0.779493105283568	0.7696622297888607	0.7813885004979229	0.7577791636908654
10_unit	0.0001	0.2	0.7838959224970445	0.788501914239556	0.7793608983306042	0.7717228883546418	0.776838290766801	0.7661047850884694
10_unit	0.0001	0.3	0.7928827046473985	0.798456440746887	0.7876883604657917	0.7727297989196584	0.7818248116443524	0.7637547403257118
10_unit	0.0001	0.4	0.7904201951095634	0.7968176640703868	0.7838565156365545	0.7771526988422036	0.7830087614295916	0.7727513001317734
10_unit	0.0001	0.5	0.7938550324639643	0.7994419247900499	0.7890583723350975	0.7746417093337893	0.7806816009978574	0.7699712311267137
10_unit	0.001	0.0	0.779585492266111	0.7872049060582129	0.7705472224882524	0.7519412702564051	0.7680248056089245	0.7344934767082776
10_unit	0.001	0.1	0.7807089398166538	0.7846834498545383	0.7756882588073859	0.764586749217909	0.779339221228612	0.7497822216410329
10_unit	0.001	0.2	0.7861788327377748	0.7918837695093863	0.7799258659019652	0.7714839859978071	0.7817111444177322	0.7623411928017463
10_unit	0.001	0.3	0.7908747646941533	0.7961701098381787	0.7856911535206779	0.7746015360164162	0.7843073843461117	0.7666597929848209
10_unit	0.001	0.4	0.7907231950530429	0.7966348673416679	0.785011641653727	0.771630785209178	0.7827235874583807	0.7607267158218745
10_unit	0.001	0.5	0.7912435084827857	0.7986020438442105	0.7833841788905338	0.783574331324877	0.7903440696890748	0.7764814460885398
10_unit	0.01	0.0	0.7771575990835828	0.7852497244625449	0.7687543960391687	0.7587053504068885	0.7701271463490691	0.7468796837435748
10_unit	0.01	0.1	0.7894140830451051	0.79494240403682	0.7822689842166495	0.7631139790570649	0.7750331948537917	0.7527891221470028
10_unit	0.01	0.2	0.7892510684926453	0.7969089289835573	0.7810152711335658	0.7713114104795147	0.7844622936638066	0.7575754679971433
10_unit	0.01	0.3	0.7903751489550771	0.7963614494055143	0.7839670877967523	0.7721141852675203	0.7814521239676904	0.7646997877541166
10_unit	0.01	0.4	0.7946420363199186	0.8025234304962657	0.7868965572733254	0.7800966674378602	0.7850784102682747	0.7756229064609257
10_unit	0.01	0.5	0.7894486974378943	0.797258771275652	0.7821224273358275	0.781314000684015	0.7876291330107732	0.7761130335066843
10_unit	0.1	0.0	0.7856113109499056	0.7943609552436113	0.7763511618888524	0.774244691338155	0.7809954432518886	0.7668443764899963
10_unit	0.1	0.1	0.7831950991620835	0.7914084124489549	0.7747456263335306	0.7770033220001407	0.7835786064196836	0.7702795409051131
10_unit	0.1	0.2	0.7853407474954351	0.7940589041773363	0.776800164301964	0.778770507881263	0.7877194129540402	0.7704020097975114
10_unit	0.1	0.3	0.7818127813268816	0.7900120321947068	0.7740874332940306	0.7800776809873959	0.7857692152937745	0.7756576101717079
10_unit	0.1	0.4	0.7829013784919072	0.7914716879377395	0.7743153993252079	0.7797896779093277	0.7850779073159446	0.7753965779123454
10_unit	0.1	0.5	0.7743082390801602	0.7837470248234912	0.7654193232611702	0.7766218326577007	0.7828337340186896	0.7731003490489172
10_unit	1	0.0	0.7747229671066369	0.7826931313458003	0.7664894918963728	0.7770929103839538	0.7814370353977851	0.7723124742236932
5_unit	1	0.0	0.7772099953566837	0.7851603121658812	0.7690383821319848	0.7812654029151118	0.7851367527385753	0.7770472674599901
5_unit	1	0.1	0.7736623976350879	0.7816023150641273	0.7656264826819607	0.7783988889783028	0.7835539617555048	0.7733025358856489
5_unit	1	0.2	0.7605059880333535	0.7684504648811421	0.7528435543860696	0.7758956323619646	0.7822025288443161	0.770963053121825
5_unit	1	0.3	0.7659085518858223	0.7733516050253008	0.7579770409004345	0.7769405158279099	0.7823370685926389	0.771860320078863
5_unit	1	0.4	0.7601421004942404	0.7671513666186766	0.7526766854492675	0.7750670812670375	0.7813228652188347	0.7681052779817529
5_unit	1	0.5	0.7536733931299329	0.7626222550267924	0.7446160648541378	0.772835230301872	0.780542283202398	0.7656056049007677
10_unit	1	0.0	0.7770491763706615	0.7852209088182974	0.7687354341952186	0.7808541136471085	0.7853228451007414	0.7758834357679579
10_unit	1	0.1	0.7729242835241162	0.7803321403843708	0.7653700993975856	0.7792626467363423	0.7824424371058111	0.7759558609035034
10_unit	1	0.2	0.7706872436952164	0.7775247689331912	0.7636443655337969	0.7775805226680617	0.7812416384175108	0.773799955740195
10_unit	1	0.3	0.7702242303791427	0.7781603341460772	0.7620186866989985	0.7804966402784345	0.7843446028185449	0.7769451681369639
10_unit	1	0.4	0.7692546986593649	0.7768212437022814	0.7613668561411883	0.7752477668916541	0.7800702624405259	0.7703308420427912
10_unit	1	0.5	0.765479914026034	0.7741196009181441	0.7563561663084418	0.7741581835373643	0.7806976954724231	0.7684860128956976
